"","category","name","price","ratings","no_of_reviews"
"128","Pencil","Faber-Castell Goldfaber Artists' Graphite 5B Pencil,black","£0.61","4.5 out of 5 stars","896"
"129","Pencil","Skaaisont Inkless Pencils with Eraser, Long-Lasting Perpetual Pencil Pen Portable Pencil 6 Lapis Reusable for Office and Study","£2.56","4.1 out of 5 stars","109"
"130","Pencil","Pentel 0.5mm (P205) Black P200 Series Automatic Mechanical Draughting Pencil Refillable Lead Eraser P205-A (Pack Of 3)","£0.21","4.6 out of 5 stars","385"
"131","Pencil","Helix Oxford Hb Grade Graphite Pencils (Pack of 12) with Plastic Free Packaging","£3.14","4.7 out of 5 stars","3,541"
"132","Pencil","Just stationery,10 Count (Pack of 1),6346 HB Pencil with Sharpener (Pack of 10),Package May Vary","£0.63","4.5 out of 5 stars","329"
"133","Pencil","Eziglide HB Pencils, 12 Pack of Hexagonal Graphite Pencils, Break Resistant Super Bonded HB Lead Pencil, Ideal Drawing Pencils for School Essentials, Home Sketching Pencils or Office Writing Pencils","£5.79","4.5 out of 5 stars","69"
"134","Pencil","Staedtler Noris School Pencils 121 - 2H Grade [Pack of 36]","£0.58","4.7 out of 5 stars","620"
"135","Pencil","vgggrd Inkless Pencil [5 Pack], Portable Everlasting Pencil, 10 Pcs Replaceable Graphite Nib for Writing, Drawing, Home, Office, School","£4.04","4.4 out of 5 stars","257"
"136","Pencil","SOL 32pk HB Pencils With Rubbers On The End | HB Pencil Pack with Erasers | Writing Pencils for Children I Kids Pencils for School Supplies I School Pencils for Party Bag | Pack of Pencils Sticker","£0.34","4.1 out of 5 stars","338"
"137","Pencil","ROCOD Profession sketch pencils 6B to 4H for kids and adults drawing,Art graphite pencil for artists beginner sketching.","£7.99","4.6 out of 5 stars","743"
"138","Pencil","BIC Matic Original Mechanical Pencils - Box of 12- Fine Point (0.5 mm) Pencils with Resistant Lead (Includes 3 HB Lead Refills and Eraser), grey","£10.82","4.4 out of 5 stars","1,002"
"139","Pencil","rOtring Rapid Pro Mechanical Pencil | HB 0.7 mm Lead Propelling Pencil | Reduced Lead Breakage | Matte Black Full-Metal Barrel","£3.79","4.8 out of 5 stars","5,086"
"140","Pencil","RNHDLY 6 Pcs Everlasting Pencil, Inkless Pencils, Everlasting Pencil with Eraser and Replaceable Graphite Nib, Everlasting Reusable Unlimited Writing Pencil for Student Adult Artist Writing Drawing","£0.03","4.5 out of 5 stars","82"
"141","Pencil","4Pcs Mechanical Pencil Set 0.3 0.5 0.7 0.9mm HB Mechanical Pencil Automatic Pencil Lead Pencil Architecture Propelling Pencil with Rubber Pencil Lead Refill for Artist School Drawing Writing Sketching","£3.89","4.3 out of 5 stars","81"
"142","Pencil","STAEDTLER Noris 120-S BK5D Pencil Assorted Grades (Blister Pack of 5)","£3.59","4.7 out of 5 stars","2,530"
"143","Pencil","AUAUY 12Pcs HB Pencil Non-Slip, Multicolor Kids Writing Drawing Graphite Pencils with Eraser, HB Wooden Black Lead Pencils for Children Student Adults School Office Wedding Party(Macarons)","£3.78","4.4 out of 5 stars","359"
"144","Pencil","STAEDTLER 122-2BK10D Noris HB Eraser-Tip Pencil (Blister of 10)","£8.65","4.7 out of 5 stars","995"
"145","Pencil","Pasler white charcoal pencils - Set of 3 pcs highlight sketch white pencil","£9.83","4.3 out of 5 stars","558"
"146","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£2.00","4.7 out of 5 stars","12,526"
"147","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.40","4.6 out of 5 stars","2,868"
"148","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£2.75","4.6 out of 5 stars","706"
"149","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£5.71","4.6 out of 5 stars","1,876"
"150","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£0.32","4.7 out of 5 stars","12,690"
"151","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£5.89","4.7 out of 5 stars","81,425"
"152","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£10.99","4.5 out of 5 stars","2,902"
