"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"52","staedtler noris school pencils hb [pack of 50) loose","mine qui ne casse pas","lucie fernandes","la matresse de ma fille ma conseiller dacheter cette marque et depuis la mine ne casse plus cest la  me anne que jachte cette marque rapport qualit prix rien  dire  jai pu fournir toute sa classeje recommande ce produit",2019-11-02,5,"verified purchase"
"53","staedtler noris school pencils hb [pack of 50) loose","ein klassiker zum super preis","win","auch wenn auf dem stift noris school pencil steht ist es ein noris  jedoch zu einem sehr gnstigen preis von  cent pro stck die hrte von hb eignet sich sehr gut zum schreibenden noris gibts mittlerweile seit ber  jahren und es ist ein erstklassiger bleistift sauber gearbeitet farbige endkappe ber die man die hrte direkt erkennen kann recht mittig sitzende stabile mine und  man glaubt es kaum  noch made in germany",2017-04-28,5,"verified purchase"
"54","staedtler noris school pencils hb [pack of 50) loose","pencils  lots of them","professional procrastinator","not a lot you can say about this  the good quality of staedtler as you would expect and plenty of them  much better than many cheaper alternatives",2023-11-13,5,"verified purchase"
"55","staedtler noris school pencils hb [pack of 50) loose","prodotto di ottima qualit","chiarar","queste matite le conoscevo gi perch le ho sempre comprate ai miei ragazzi che frequentano la scuol elementarela mina  molto solida e quando viene rifatta la punta non si rompeimpugnatura piacevo e non scivolosa",2020-10-21,5,"verified purchase"
"56","staedtler noris school pencils hb [pack of 50) loose","good quality and worth your money","maynaga e","these pencils are legitimate staedtler pencils and are sturdy they all come sharpened and are ready to use",2023-06-27,5,"verified purchase"
"57","staedtler noris school pencils hb [pack of 50) loose","scorta per scuola","trix","ottimo acquisto e avendo tre figli in et scolare ho fatto scorta unica accortezza trasferirle in una scatola che le protegga dagli urti ottimo rapporto qualit prezzo",2022-11-20,5,"verified purchase"
"58","staedtler noris school pencils hb [pack of 50) loose","rsistant  un enfant ","aurlie","jai achet un stock de crayon de papier suite la surconsommation de ces derniers pas mon fils actuellement en cp perte machouillage excessif et la matresse demande un stock constant dans la trousseainsi pas de rupture dans la chane  pour linstant ils conviennent parfaitement  ce quon attend deux",2019-10-18,5,"verified purchase"
"59","staedtler noris school pencils hb [pack of 50) loose","einwandfreie ware","zumheulen","was hat mich das immer aufgeregt im bro in der werkstatt auf dem bau immer mal wieder verliert man ein bleistift und oder die billigen der discounter wo die mienen beim spitzen brechen oder von haus aus defekt sindhier erhlt man bis jetzt was ich sagen kann qualitt zu einem guten preis auch wenn ich hier erst einmal platz fr  stifte schaffen muss aber auch schn zu sehen was diese hndler an aufschlag haben unglaublich",2018-09-13,5,"verified purchase"
"60","staedtler noris school pencils hb [pack of 50) loose","gran pack familiar","jb","ideal para familias con hijos en edad escolar siempre me ha gustado esta marca son los mejores escriben y se borran bien y al sacarles punta la mina no se parte como en otros lpices adems es un pack de  que nos van a durar un par de cursos y a un precio muy bueno",2018-11-08,5,"verified purchase"
"61","staedtler noris school pencils hb [pack of 50) loose","pour tous","tas de lor dans les doigts","bons crayons de qualit prix trs abordable pour des staedtler achat rentabilis sur du long terme pour les coliers cest trs bien",2017-11-30,4,"verified purchase"
