"","category","name","price","ratings","no_of_reviews"
"86","Pencil","Ergonomic Graphite Pencil - STABILO EASYgraph - Right-Handed - Pack of 12 - Petrol - HB","£1.22","4.8 out of 5 stars","1,616"
"87","Pencil","Q-Connect HB Rubber Tipped Office Pencil (12 Pack)","£19.92","4.3 out of 5 stars","44"
"88","Pencil","Mechanical pencil Pentel PG1013-E GraphGear1000, line width 0.3 mm, rubber (Z2-1N), 1 piece","£28.75","4.6 out of 5 stars","10,336"
"89","Pencil","Eziglide HB Pencils, 12 Pack of Hexagonal Graphite Pencils, Break Resistant Super Bonded HB Lead Pencil, Ideal Drawing Pencils for School Essentials, Home Sketching Pencils or Office Writing Pencils","£10.98","4.5 out of 5 stars","69"
"90","Pencil","Four Candies 0.5mm Mechanical Pencil Set with Case - 4PCS Metal Mechanical Pencils, 8 Tubes HB #2 Lead Refills, 3PCS Erasers and 9PCS Eraser Refills, Lead Pencils Mechanical for Writing & Drawing","£0.92","4.6 out of 5 stars","1,342"
"91","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£2.00","4.7 out of 5 stars","12,526"
"92","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.40","4.6 out of 5 stars","2,868"
"93","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£2.75","4.6 out of 5 stars","706"
"94","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£5.71","4.6 out of 5 stars","1,876"
"95","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£0.32","4.7 out of 5 stars","12,690"
"96","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£5.89","4.7 out of 5 stars","81,425"
"97","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£10.99","4.5 out of 5 stars","2,902"
"98","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£0.22","4.5 out of 5 stars","3,285"
"99","Pencil","3 X Staedtler Noris School Pencils 121 - HB Grade [Pack of 36]","£11.99","4.5 out of 5 stars","55"
"100","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£3.49","4.7 out of 5 stars","1,627"
